t_code_units,ps
-9.051999999999999602e+01,-5.958134633858799845e+01
-9.050000000000000000e+01,-5.956818209944999865e+01
-9.048000000000000398e+01,-5.955501786031200595e+01
-9.045999999999999375e+01,-5.954185362117399904e+01
-9.043999999999999773e+01,-5.952868938203599924e+01
-9.042000000000000171e+01,-5.951552514289799944e+01
-9.040000000000000568e+01,-5.950236090376000675e+01
-9.037999999999999545e+01,-5.948919666462199984e+01
-9.035999999999999943e+01,-5.947603242548400004e+01
-9.034000000000000341e+01,-5.946286818634600024e+01
-9.031999999999999318e+01,-5.944970394720799334e+01
-9.029999999999999716e+01,-5.943653970807000064e+01
-9.028000000000000114e+01,-5.942337546893200084e+01
-9.026000000000000512e+01,-5.941021122979400104e+01
-9.023999999999999488e+01,-5.939704699065599414e+01
-9.021999999999999886e+01,-5.938388275151800144e+01
-9.020000000000000284e+01,-5.937071851238000164e+01
-9.017999999999999261e+01,-5.935755427324199474e+01
-9.015999999999999659e+01,-5.934439003410399494e+01
-9.014000000000000057e+01,-5.933122579496600224e+01
-9.012000000000000455e+01,-5.931806155582800244e+01
-9.009999999999999432e+01,-5.930489731668999553e+01
-9.007999999999999829e+01,-5.929173307755200284e+01
-9.006000000000000227e+01,-5.927856883841400304e+01
-9.004000000000000625e+01,-5.926540459927600324e+01
-9.001999999999999602e+01,-5.925224036013799633e+01
-9.000000000000000000e+01,-5.923907612100000364e+01
-8.998000000000000398e+01,-5.922591188186200384e+01
-8.995999999999999375e+01,-5.921274764272399693e+01
-8.993999999999999773e+01,-5.919958340358599713e+01
-8.992000000000000171e+01,-5.918641916444800444e+01
-8.990000000000000568e+01,-5.917325492531000464e+01
-8.987999999999999545e+01,-5.916009068617199773e+01
-8.985999999999999943e+01,-5.914692644703399793e+01
-8.984000000000000341e+01,-5.913376220789600524e+01
-8.981999999999999318e+01,-5.912059796875799833e+01
-8.979999999999999716e+01,-5.910743372961999853e+01
-8.978000000000000114e+01,-5.909426949048199873e+01
-8.976000000000000512e+01,-5.908110525134400604e+01
-8.973999999999999488e+01,-5.906794101220599913e+01
-8.971999999999999886e+01,-5.905477677306799933e+01
-8.970000000000000284e+01,-5.904161253392999953e+01
-8.967999999999999261e+01,-5.902844829479199262e+01
-8.965999999999999659e+01,-5.901528405565399993e+01
-8.964000000000000057e+01,-5.900211981651600013e+01
-8.962000000000000455e+01,-5.898895557737800033e+01
-8.959999999999999432e+01,-5.897579133823999342e+01
-8.957999999999999829e+01,-5.896262709910200073e+01
-8.956000000000000227e+01,-5.894946285996400093e+01
-8.954000000000000625e+01,-5.893629862082600113e+01
-8.951999999999999602e+01,-5.892313438168800133e+01
-8.950000000000000000e+01,-5.890997014255000153e+01
-8.948000000000000398e+01,-5.889680590341200173e+01
-8.945999999999999375e+01,-5.888364166427399482e+01
-8.943999999999999773e+01,-5.887047742513600213e+01
-8.942000000000000171e+01,-5.885731318599800233e+01
-8.940000000000000568e+01,-5.884414894686000252e+01
-8.937999999999999545e+01,-5.883098470772199562e+01
-8.935999999999999943e+01,-5.881782046858400292e+01
-8.934000000000000341e+01,-5.880465622944600312e+01
-8.931999999999999318e+01,-5.879149199030799622e+01
-8.929999999999999716e+01,-5.877832775116999642e+01
-8.928000000000000114e+01,-5.876516351203200372e+01
-8.926000000000000512e+01,-5.875199927289400392e+01
-8.923999999999999488e+01,-5.873883503375599702e+01
-8.921999999999999886e+01,-5.872567079461799722e+01
-8.920000000000000284e+01,-5.871250655548000452e+01
-8.917999999999999261e+01,-5.869934231634199762e+01
-8.915999999999999659e+01,-5.868617807720399782e+01
-8.914000000000000057e+01,-5.867301383806599802e+01
-8.912000000000000455e+01,-5.865984959892800532e+01
-8.909999999999999432e+01,-5.864668535978999842e+01
-8.907999999999999829e+01,-5.863352112065199861e+01
-8.906000000000000227e+01,-5.862035688151399881e+01
-8.903999999999999204e+01,-5.860719264237599191e+01
-8.901999999999999602e+01,-5.859402840323799921e+01
-8.900000000000000000e+01,-5.858086416409999941e+01
-8.898000000000000398e+01,-5.856769992496199961e+01
-8.895999999999999375e+01,-5.855453568582399981e+01
-8.893999999999999773e+01,-5.854137144668600001e+01
-8.892000000000000171e+01,-5.852820720754800021e+01
-8.890000000000000568e+01,-5.851504296841000752e+01
-8.887999999999999545e+01,-5.850187872927200061e+01
-8.885999999999999943e+01,-5.848871449013400081e+01
-8.884000000000000341e+01,-5.847555025099600101e+01
-8.881999999999999318e+01,-5.846238601185799411e+01
-8.879999999999999716e+01,-5.844922177272000141e+01
-8.878000000000000114e+01,-5.843605753358200161e+01
-8.876000000000000512e+01,-5.842289329444400181e+01
